Datum,Cena
2016-08-27,17.99
2016-08-06,17.99
2016-07-19,17.99
2016-08-09,17.99
2016-08-30,57.56
2016-08-20,160.37
2016-09-03,17.99
2016-08-16,78.12
2016-08-02,17.99
2016-08-13,17.99
2016-07-27,17.99
2016-07-13,17.99
2016-07-30,139.81
2016-07-12,17.99
2016-06-28,17.99
2016-06-29,17.99
2016-07-26,17.99
2016-08-23,17.99
2016-07-05,17.99
2016-08-24,78.12
2016-07-20,78.12
2016-08-03,78.12
2016-07-23,139.81
2016-08-17,98.68
2016-08-31,78.12
2016-08-10,17.99
2016-07-06,17.99
